Account,Name,Date,Downloads,Units,Amount
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-26,2964,7228,13170
AUREA SOFTWARE INC,ACCOUNTLEVEL,-26,5049,1732,9211
Ocean Sports Wear,ACCOUNTLEVEL,-26,6226,10388,11518
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-26,1756,13832,6128
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-26,4613,4693,43
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-26,12212,2606,9367
UNIFOODS SA DE CV,ACCOUNTLEVEL,-26,2887,8994,2923
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-26,11101,11571,8693
JARDINS DE NORTENE,ACCOUNTLEVEL,-26,4598,7898,9331
Terry Store age spa,ACCOUNTLEVEL,-26,7829,3491,8989
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-26,9070,6020,5401
ST. CLAIR SERVICE,ACCOUNTLEVEL,-26,14216,5721,12567
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-26,2369,5766,13552
CARNES KM SA DE CV,ACCOUNTLEVEL,-26,888,9805,7613
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-26,6116,5661,5740
COMNET SA DE CV,ACCOUNTLEVEL,-26,5924,1958,10229
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-26,13567,7742,11756
FRUITCORP SA DE CV,ACCOUNTLEVEL,-26,7546,8613,3240
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-26,4440,13575,7796
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-26,7507,3923,8161
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-26,13697,5995,6839
K & S Contractors Supply Co,ACCOUNTLEVEL,-26,6222,12961,11031
Tioga Hardwoods Inc,ACCOUNTLEVEL,-26,8587,9414,11163
GHCL Limited,ACCOUNTLEVEL,-26,3231,3015,9688
Motion Industries Inc.,ACCOUNTLEVEL,-26,10568,5809,9622
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-26,9740,2760,11646
Quantum Foods,ACCOUNTLEVEL,-26,1743,12040,9421
Family Magazine,ACCOUNTLEVEL,-26,379,6007,7393
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-26,2132,8516,11316
Innovative Laser Inc,ACCOUNTLEVEL,-26,2446,2556,8234
Addis Housewares Ltd,ACCOUNTLEVEL,-26,8018,10953,5421
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-26,10360,14713,9021
APLNG,ACCOUNTLEVEL,-26,12120,7805,184
Quince Hungary Kft,ACCOUNTLEVEL,-26,9523,4703,5553
Jandel Scientific Inc.,ACCOUNTLEVEL,-26,1615,11771,12622
Viking Tool & Steel,ACCOUNTLEVEL,-26,6187,12869,10463
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-26,9105,11994,7832
MAPE USA,ACCOUNTLEVEL,-26,6741,6233,4030
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-26,13560,6939,2552
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-26,9853,92,14125
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-26,13677,2490,13032
M&M SERVICE CO,ACCOUNTLEVEL,-26,9383,7737,915
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-26,6803,10223,6139
L and P Financial Services Co,ACCOUNTLEVEL,-26,11182,1744,1499
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-26,5985,2265,7471
CATMADER SL,ACCOUNTLEVEL,-26,9918,7263,9773
Tekno Inc,ACCOUNTLEVEL,-26,2768,8615,9991
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-26,1947,13102,2852
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-26,9019,4725,11866
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-26,8113,14308,14198
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-26,857,750,24
COMERGALV SA DE CV,ACCOUNTLEVEL,-26,4696,2477,5749
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-26,6906,2581,11187
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-26,5467,2939,5649
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-26,6051,1869,515
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-26,5281,4476,3343
TERENTRO SA DE CV,ACCOUNTLEVEL,-26,3353,7337,10833
FUNTASTIC LIMITED,ACCOUNTLEVEL,-26,13144,5727,11297
DeeTag USA,ACCOUNTLEVEL,-26,12865,12067,7907
Lakeland Village,ACCOUNTLEVEL,-26,14232,14407,10242
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-26,2702,8385,7993
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-26,11518,3334,6748
Do not Use1,ACCOUNTLEVEL,-26,4523,9846,423
Oil Chem Research Corp,ACCOUNTLEVEL,-26,6909,1745,2885
LICK ELEVATOR,ACCOUNTLEVEL,-26,4084,3653,12876
Quanex Screens LLC,ACCOUNTLEVEL,-26,7111,8310,3969
A and T unlimit Limited,ACCOUNTLEVEL,-27,14508,908,12054
Sienna Gold Ltd,ACCOUNTLEVEL,-27,14029,5548,8281
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-27,10926,11282,5284
Murex N.A. Ltd,ACCOUNTLEVEL,-27,4442,2991,12333
Via Systems,ACCOUNTLEVEL,-27,787,306,13315
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-27,7512,10799,5847
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-27,1372,10647,50
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-27,1597,13155,1686
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-27,6468,6520,2159
Anunay Fab Ltd,ACCOUNTLEVEL,-27,14835,3645,9332
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-27,13676,11243,5387
Jadow B & Sons Inc,ACCOUNTLEVEL,-27,6010,11910,2858
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-27,1355,7562,1650
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-27,8821,5169,13442
Alltech Automotive LLC,ACCOUNTLEVEL,-27,1651,6792,8104
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-27,6562,1959,11607
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-27,5921,3323,6994
ATTEBURY GRAIN,ACCOUNTLEVEL,-27,3348,1485,10573
Vicor,ACCOUNTLEVEL,-27,4250,9565,12373
Baja Inc,ACCOUNTLEVEL,-27,960,10203,9838
National Assn of Printing Ink,ACCOUNTLEVEL,-27,9353,3102,7788
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-27,6700,856,12087
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-27,9344,10831,2120
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-27,8276,209,3872
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-27,12524,2084,13448
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-27,10458,1873,8077
Triumph Tool NC Inc,ACCOUNTLEVEL,-27,10755,7317,951
Darta NV,ACCOUNTLEVEL,-27,12790,9133,3563
COTY UK LTD,ACCOUNTLEVEL,-27,1412,1881,11794
Deal Partners Limited,ACCOUNTLEVEL,-27,12658,6919,2427
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-27,5291,9235,3277
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-27,12679,10384,6186
GKN Sinter Metals,ACCOUNTLEVEL,-27,6650,10191,14424
AGENCE PRESSE,ACCOUNTLEVEL,-27,5422,7721,10547
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-27,455,8422,8737
AUREA SOFTWARE INC,ACCOUNTLEVEL,-27,3853,9646,2628
Ocean Sports Wear,ACCOUNTLEVEL,-27,2601,7387,4299
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-27,1728,14709,4762
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-27,12957,8637,14447
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-27,11442,5726,1641
UNIFOODS SA DE CV,ACCOUNTLEVEL,-27,3101,1790,5070
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-27,4849,4765,7389
JARDINS DE NORTENE,ACCOUNTLEVEL,-27,8156,2157,13346
Terry Store age spa,ACCOUNTLEVEL,-27,13539,3951,13800
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-27,10538,6322,13894
ST. CLAIR SERVICE,ACCOUNTLEVEL,-27,12912,9274,1749
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-27,3611,10217,990
CARNES KM SA DE CV,ACCOUNTLEVEL,-27,1706,6377,14865
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-27,10838,6658,10181
COMNET SA DE CV,ACCOUNTLEVEL,-27,1009,8897,5703
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-27,4918,13249,2032
FRUITCORP SA DE CV,ACCOUNTLEVEL,-27,8870,1491,3767
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-27,5636,13003,5468
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-27,7764,1913,8957
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-27,6766,1218,11243
K & S Contractors Supply Co,ACCOUNTLEVEL,-27,6638,4890,1023
Tioga Hardwoods Inc,ACCOUNTLEVEL,-27,10503,7255,10378
GHCL Limited,ACCOUNTLEVEL,-27,10011,14728,2825
Motion Industries Inc.,ACCOUNTLEVEL,-27,3424,3084,1028
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-27,7339,13773,2862
Quantum Foods,ACCOUNTLEVEL,-27,3625,12745,14444
Family Magazine,ACCOUNTLEVEL,-27,4175,12995,10918
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-27,3595,8015,13672
Innovative Laser Inc,ACCOUNTLEVEL,-27,4306,1485,9720
Addis Housewares Ltd,ACCOUNTLEVEL,-27,9945,10840,4376
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-27,13807,9477,10006
APLNG,ACCOUNTLEVEL,-27,7037,2375,9055
Quince Hungary Kft,ACCOUNTLEVEL,-27,8922,5318,11956
Jandel Scientific Inc.,ACCOUNTLEVEL,-27,6001,5461,7553
Viking Tool & Steel,ACCOUNTLEVEL,-27,2789,2019,618
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-27,9120,12113,12287
MAPE USA,ACCOUNTLEVEL,-27,13767,13751,11265
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-27,10597,7851,14219
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-27,11538,4565,12515
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-27,5093,1646,10617
M&M SERVICE CO,ACCOUNTLEVEL,-27,2580,2504,6205
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-27,8117,954,5988
L and P Financial Services Co,ACCOUNTLEVEL,-27,13017,129,13028
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-27,8571,2072,8957
CATMADER SL,ACCOUNTLEVEL,-27,4101,13338,10728
Tekno Inc,ACCOUNTLEVEL,-27,6421,7714,6249
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-27,8816,4958,8621
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-27,14962,4844,13890
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-27,7337,1196,7114
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-27,5880,10077,7684
COMERGALV SA DE CV,ACCOUNTLEVEL,-27,5277,3106,3534
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-27,6898,13869,10917
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-27,11494,6064,6064
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-27,13113,14401,11731
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-27,11610,8571,4464
TERENTRO SA DE CV,ACCOUNTLEVEL,-27,12772,5716,9980
FUNTASTIC LIMITED,ACCOUNTLEVEL,-27,9800,9025,10140
DeeTag USA,ACCOUNTLEVEL,-27,6617,8274,9969
Lakeland Village,ACCOUNTLEVEL,-27,6283,5510,1264
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-27,3435,1003,11836
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-27,8869,13918,14190
Do not Use1,ACCOUNTLEVEL,-27,12828,2552,4344
Oil Chem Research Corp,ACCOUNTLEVEL,-27,12905,4491,10142
LICK ELEVATOR,ACCOUNTLEVEL,-27,9604,8027,2306
Quanex Screens LLC,ACCOUNTLEVEL,-27,7300,12955,6448
A and T unlimit Limited,ACCOUNTLEVEL,-28,10459,3708,8419
Sienna Gold Ltd,ACCOUNTLEVEL,-28,275,3602,13050
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-28,13818,14716,8606
Murex N.A. Ltd,ACCOUNTLEVEL,-28,14444,8501,1212
Via Systems,ACCOUNTLEVEL,-28,10514,9893,3972
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-28,9321,3600,6269
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-28,2477,9720,241
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-28,4590,10597,3039
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-28,8857,3197,14958
Anunay Fab Ltd,ACCOUNTLEVEL,-28,13391,8811,8324
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-28,12616,5227,14792
Jadow B & Sons Inc,ACCOUNTLEVEL,-28,10470,10699,114
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-28,11962,13046,5235
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-28,11825,11314,2391
Alltech Automotive LLC,ACCOUNTLEVEL,-28,3594,14180,7279
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-28,11390,297,3897
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-28,525,8640,8882
ATTEBURY GRAIN,ACCOUNTLEVEL,-28,11946,8136,13226
Vicor,ACCOUNTLEVEL,-28,73,7563,7075
Baja Inc,ACCOUNTLEVEL,-28,9666,7837,14571
National Assn of Printing Ink,ACCOUNTLEVEL,-28,2257,11408,242
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-28,10721,11562,3650
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-28,4110,9493,12661
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-28,4831,8939,14806
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-28,11196,5899,11464
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-28,2022,13096,7495
Triumph Tool NC Inc,ACCOUNTLEVEL,-28,4603,3923,10163
Darta NV,ACCOUNTLEVEL,-28,5184,7584,5643
COTY UK LTD,ACCOUNTLEVEL,-28,8405,1938,6291
Deal Partners Limited,ACCOUNTLEVEL,-28,4366,1771,11464
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-28,14760,5873,10373
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-28,11641,3538,9135
GKN Sinter Metals,ACCOUNTLEVEL,-28,12158,8428,3990
AGENCE PRESSE,ACCOUNTLEVEL,-28,9916,6590,5777
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-28,13365,5318,4103
AUREA SOFTWARE INC,ACCOUNTLEVEL,-28,7848,9075,8712
Ocean Sports Wear,ACCOUNTLEVEL,-28,14656,14145,8867
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-28,6452,4738,6569
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-28,13353,9426,6872
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-28,12865,3182,1389
UNIFOODS SA DE CV,ACCOUNTLEVEL,-28,4431,3909,10089
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-28,9199,6547,5505
JARDINS DE NORTENE,ACCOUNTLEVEL,-28,4872,8410,13123
Terry Store age spa,ACCOUNTLEVEL,-28,9829,14754,349
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-28,12907,4963,2337
ST. CLAIR SERVICE,ACCOUNTLEVEL,-28,4606,12705,2669
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-28,14541,2813,12093
CARNES KM SA DE CV,ACCOUNTLEVEL,-28,12727,9274,6540
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-28,5697,5745,3239
COMNET SA DE CV,ACCOUNTLEVEL,-28,229,12823,12007
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-28,13327,11342,1294
FRUITCORP SA DE CV,ACCOUNTLEVEL,-28,14086,2524,937
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-28,8064,13719,6092
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-28,7934,14675,12489
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-28,7778,5139,5599
K & S Contractors Supply Co,ACCOUNTLEVEL,-28,1209,10626,2757
Tioga Hardwoods Inc,ACCOUNTLEVEL,-28,12217,3937,9015
GHCL Limited,ACCOUNTLEVEL,-28,3706,13942,14515
Motion Industries Inc.,ACCOUNTLEVEL,-28,6022,3195,10886
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-28,11136,9530,7899
Quantum Foods,ACCOUNTLEVEL,-28,10546,12080,6224
Family Magazine,ACCOUNTLEVEL,-28,7838,6778,9779
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-28,3466,6826,13914
Innovative Laser Inc,ACCOUNTLEVEL,-28,5068,10333,7802
Addis Housewares Ltd,ACCOUNTLEVEL,-28,3499,1331,1980
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-28,5712,7359,3250
APLNG,ACCOUNTLEVEL,-28,6180,9527,11932
Quince Hungary Kft,ACCOUNTLEVEL,-28,535,6395,11935
Jandel Scientific Inc.,ACCOUNTLEVEL,-28,540,2712,5503
Viking Tool & Steel,ACCOUNTLEVEL,-28,8362,10650,1045
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-28,483,11467,502
MAPE USA,ACCOUNTLEVEL,-28,59,3461,8566
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-28,12275,7773,7904
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-28,9228,14324,7461
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-28,13983,5854,2092
M&M SERVICE CO,ACCOUNTLEVEL,-28,9132,9196,6133
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-28,192,12560,3749
L and P Financial Services Co,ACCOUNTLEVEL,-28,14579,8959,6788
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-28,14174,1034,10615
CATMADER SL,ACCOUNTLEVEL,-28,5598,7951,7286
Tekno Inc,ACCOUNTLEVEL,-28,6876,12369,1306
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-28,14069,4106,9391
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-28,7027,1579,8073
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-28,1558,4045,7952
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-28,2458,14053,9853
COMERGALV SA DE CV,ACCOUNTLEVEL,-28,8952,689,1403
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-28,1908,490,7271
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-28,3930,12333,1632
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-28,11471,2571,7054
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-28,10507,5603,9709
TERENTRO SA DE CV,ACCOUNTLEVEL,-28,8318,10880,14975
FUNTASTIC LIMITED,ACCOUNTLEVEL,-28,11327,9657,11081
DeeTag USA,ACCOUNTLEVEL,-28,5845,10004,2693
Lakeland Village,ACCOUNTLEVEL,-28,12408,5734,11858
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-28,11470,3827,6866
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-28,8013,7820,9546
Do not Use1,ACCOUNTLEVEL,-28,1721,10806,12022
Oil Chem Research Corp,ACCOUNTLEVEL,-28,12589,4005,14912
LICK ELEVATOR,ACCOUNTLEVEL,-28,7222,2373,1222
Quanex Screens LLC,ACCOUNTLEVEL,-28,846,9461,2334
A and T unlimit Limited,ACCOUNTLEVEL,-29,5298,9182,5233
Sienna Gold Ltd,ACCOUNTLEVEL,-29,10334,7943,10605
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-29,10656,4667,5999
Murex N.A. Ltd,ACCOUNTLEVEL,-29,663,13253,6444
Via Systems,ACCOUNTLEVEL,-29,10933,11591,12149
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-29,704,9050,8063
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-29,5603,3077,7103
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-29,11171,5060,5534
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-29,9571,14827,6184
Anunay Fab Ltd,ACCOUNTLEVEL,-29,8676,10406,903
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-29,1740,8537,6450
Jadow B & Sons Inc,ACCOUNTLEVEL,-29,14067,8440,7908
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-29,1028,3749,126
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-29,13035,119,10140
Alltech Automotive LLC,ACCOUNTLEVEL,-29,13853,5603,9177
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-29,11708,12859,13004
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-29,11478,114,13443
ATTEBURY GRAIN,ACCOUNTLEVEL,-29,3878,5975,7080
Vicor,ACCOUNTLEVEL,-29,5712,10962,1881
Baja Inc,ACCOUNTLEVEL,-29,11249,7147,2996
National Assn of Printing Ink,ACCOUNTLEVEL,-29,7936,9770,8474
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-29,11839,124,9450
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-29,2300,9058,1074
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-29,3315,7109,9560
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-29,11472,8673,3215
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-29,2116,1853,2606
Triumph Tool NC Inc,ACCOUNTLEVEL,-29,967,4362,5348
Darta NV,ACCOUNTLEVEL,-29,5594,2488,10388
COTY UK LTD,ACCOUNTLEVEL,-29,1852,8204,4682
Deal Partners Limited,ACCOUNTLEVEL,-29,14673,2935,4309
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-29,6138,1923,13120
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-29,5064,8424,274
GKN Sinter Metals,ACCOUNTLEVEL,-29,12234,6804,11301
AGENCE PRESSE,ACCOUNTLEVEL,-29,4555,6136,2271
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-29,12579,12662,1603
AUREA SOFTWARE INC,ACCOUNTLEVEL,-29,6749,3866,10392
Ocean Sports Wear,ACCOUNTLEVEL,-29,13471,13948,10173
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-29,10438,6609,5965
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-29,3314,7048,7728
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-29,8602,3519,4671
UNIFOODS SA DE CV,ACCOUNTLEVEL,-29,5488,5434,13379
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-29,11749,2078,11556
JARDINS DE NORTENE,ACCOUNTLEVEL,-29,7633,7297,8449
Terry Store age spa,ACCOUNTLEVEL,-29,2475,14518,5292
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-29,14661,2097,6095
ST. CLAIR SERVICE,ACCOUNTLEVEL,-29,10839,14738,5732
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-29,1526,12316,748
CARNES KM SA DE CV,ACCOUNTLEVEL,-29,13736,9761,3825
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-29,4795,3543,10453
COMNET SA DE CV,ACCOUNTLEVEL,-29,4115,7144,13990
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-29,11156,5325,10164
FRUITCORP SA DE CV,ACCOUNTLEVEL,-29,400,6662,7092
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-29,12102,400,450
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-29,13283,10380,2197
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-29,1546,4910,10280
K & S Contractors Supply Co,ACCOUNTLEVEL,-29,14221,2171,9560
Tioga Hardwoods Inc,ACCOUNTLEVEL,-29,12068,11642,9171
GHCL Limited,ACCOUNTLEVEL,-29,11702,706,3462
Motion Industries Inc.,ACCOUNTLEVEL,-29,14001,14759,557
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-29,11611,13509,14408
Quantum Foods,ACCOUNTLEVEL,-29,1016,6566,12607
Family Magazine,ACCOUNTLEVEL,-29,3475,7514,11163
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-29,8930,14746,6571
Innovative Laser Inc,ACCOUNTLEVEL,-29,10627,3324,6297
Addis Housewares Ltd,ACCOUNTLEVEL,-29,12838,11612,7798
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-29,6681,3360,9076
APLNG,ACCOUNTLEVEL,-29,11251,7758,550
Quince Hungary Kft,ACCOUNTLEVEL,-29,10320,11866,4043
Jandel Scientific Inc.,ACCOUNTLEVEL,-29,9966,12599,11134
Viking Tool & Steel,ACCOUNTLEVEL,-29,12952,12895,12991
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-29,14492,11723,9710
MAPE USA,ACCOUNTLEVEL,-29,8297,2242,1140
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-29,7569,9145,8301
